segment_id;speaker;text;phase
seg_0000;detective;Nice to meet you. Uh, well, have a seat. ;0
seg_0001;suspect;Nice to see you guys. How's it going? What is this? Is this a…;0
seg_0002;detective;I didn't want to bring this up in your squadron.;0
seg_0003;suspect;Oh, no. It's fine. I think we're good.;0
seg_0004;detective;Yeah. Well, explain the whole thing, too. I don't want to talk about this in the squadron because I don't know who people are listening. And if we go to my side, everybody's always wondering what everybody else is doing.;0
seg_0005;suspect;Okay.;0
seg_0006;detective;But uh like we're talking about being busy and stuff, we've been assigned a case that we've been looking at.;0
seg_0007;suspect;Okay.;0
seg_0008;detective;It's a new case and reviewing the case. There's some notes to see as far as your name being mentioned.;0
seg_0009;suspect;Okay. ;0
seg_0010;detective;Do you know John Ruten? John. John Rutton. Rutton. Rutten.;1
seg_0011;suspect;Oh yeah, I went to school with him.;1
seg_0012;detective;You did?;1
seg_0013;suspect;Yeah. ;1
seg_0014;detective;How long did you know him?;1
seg_0015;suspect;Gosh, I went to school in um let's see, went to UCLA in 1978. They started and um you know met him at school at the dorms.;1
seg_0016;detective;Mhm. Um were you guys friends? Close friends?;1
seg_0017;suspect;Yeah, we're very close friends. I mean, what's this all about?;1
seg_0018;detective;Well, it's regarding it's a case we're working on. It involves John and in there some of the statements we we reviewed uh you know, there's notes and stuff that that he knew you and stuff.;1
seg_0019;suspect;Oh, yeah. I mean, we good friends. Um lived in the dorms for I lived in the dorms for 2 years.;1
seg_0020;detective;Um, you guys lived in the same dorm?;1
seg_0021;detective;Okay. Were you guys just friends or anything else or?;1
seg_0022;suspect;Yeah, we were we were good friends.;1
seg_0023;detective;Yeah. Was there any relationship or anything that developed between you guys?;1
seg_0024;suspect;Yeah, I mean, we dated.;1
seg_0025;detective;Uh Uh-huh. you know.;1
seg_0026;suspect;Um I mean, is what's this all about?;1
seg_0027;detective;Well, it's relating to uh his wife.;1
seg_0028;suspect;Okay.;1
seg_0029;detective;Okay. Did you know her?;1
seg_0030;suspect;Not really. I mean, I knew that he got married years ago.;1
seg_0031;detective;Uh-huh. Did you ever meet her?;1
seg_0032;suspect;God, I don't know. ;1
seg_0033;detective;Um, do you know who she was or anything?;1
seg_0034;suspect;Well, I Let me think. God, it's been a long time ago.;1
