id,segment_id,text,phase,source
lazarus_seg_0000,seg_0000,"Nice to meet you. Uh, well, have a seat.",0,original
lazarus_seg_0002,seg_0002,I didn't want to bring this up in your squadron.,0,original
lazarus_seg_0004,seg_0004,"Yeah. Well, explain the whole thing, too. I don't want to talk about this in the squadron because I don't know who people are listening. And if we go to my side, everybody's always wondering what everybody else is doing.",0,original
lazarus_seg_0006,seg_0006,"But uh like we're talking about being busy and stuff, we've been assigned a case that we've been looking at.",0,original
lazarus_seg_0008,seg_0008,It's a new case and reviewing the case. There's some notes to see as far as your name being mentioned.,0,original
lazarus_seg_0010,seg_0010,Do you know John Ruten? John. John Rutton. Rutton. Rutten.,1,original
lazarus_seg_0012,seg_0012,You did?,1,original
lazarus_seg_0014,seg_0014,How long did you know him?,1,original
lazarus_seg_0016,seg_0016,Mhm. Um were you guys friends? Close friends?,1,original
lazarus_seg_0018,seg_0018,"Well, it's regarding it's a case we're working on. It involves John and in there some of the statements we we reviewed uh you know, there's notes and stuff that that he knew you and stuff.",1,original
lazarus_seg_0020,seg_0020,"Um, you guys lived in the same dorm?",1,original
lazarus_seg_0021,seg_0021,Okay. Were you guys just friends or anything else or?,1,original
lazarus_seg_0023,seg_0023,Yeah. Was there any relationship or anything that developed between you guys?,1,original
lazarus_seg_0025,seg_0025,Uh Uh-huh. you know.,1,original
lazarus_seg_0027,seg_0027,"Well, it's relating to uh his wife.",1,original
lazarus_seg_0029,seg_0029,Okay. Did you know her?,1,original
lazarus_seg_0031,seg_0031,Uh-huh. Did you ever meet her?,1,original
lazarus_seg_0033,seg_0033,"Um, do you know who she was or anything?",1,original
lazarus_seg_0037,seg_0037,"Uh, well, let me see. Let me ask you. You said you you dated John. How long did you guys date?",1,original
lazarus_seg_0039,seg_0039,"Here's I mean, Stephanie, here's the situation is basically we, you know, we knew that this when we saw this in the in in this chrono that maybe, you know, there was some relationship there. That's what the chrono seemed to indicate. And we didn't want to come up to you at your desk and ask those kinds of questions or do anything. you know how up there people can see what's going on if you go into an interview room or people are in there getting supplies.",0,original
lazarus_seg_0040,seg_0040,"So we we wanted to afford you some privacy, some confidentiality to talk about this because we thought it might be you know something you know you're married to someone else obviously and so forth and that you may not want to you know talk about these things in that setting where someone you know we don't want the rumor mill or gossip or any of that kind of stuff.",0,original
lazarus_seg_0042,seg_0042,"I mean, so we did this just as as a means to try and speak to you in just a confidential place where you you know where where your business isn't out there for other people in you know your division.",0,original
lazarus_seg_0044,seg_0044,2009.,1,original
lazarus_seg_0046,seg_0046,82.,1,original
lazarus_seg_0048,seg_0048,"Um Well, let me ask you roughly how long would you would you say you guys dated?",1,original
lazarus_seg_0050,seg_0050,"Um, I don't even remember what year he graduated, if it was a year or two before me.",1,original
lazarus_seg_0052,seg_0052,"Um, I think he was a little bit older than I was.",1,original
lazarus_seg_0059,seg_0059,"Well, correct me if I'm wrong, cuz from what you're telling me is you guys dated while you were in college together, right?",1,original
